"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
         152, 0.017190070189542,  -8.1657270566817,  -7.2848815577303,  -7.6840934080775,  -7.7374219676731,  -9.5884863554246, 0.068397369831057,   1.2242469614577
         153, 0.017184329532468,  -8.1693663202917,  -7.3058509393665,  -7.6962696295643,  -7.7466214021172,  -9.6049959765859, 0.068397711541396,   1.2244999925388
         154, 0.017179149167742,   -8.173759844556,  -7.3279727370495,  -7.7105327797539,  -7.7570446837218,  -9.6199003417618, 0.068397799904656,   1.2247463797736
         155, 0.017173382352564,  -8.1798256357535,  -7.3509322540475,  -7.7268350677519,  -7.7692412452857,  -9.6336941355746, 0.068397616127848,   1.2249861231637
         156, 0.017167882235669,   -8.187673702142,  -7.3745027823953,  -7.7450860585475,  -7.7832508450465,  -9.6469747069907, 0.068397165685306,   1.2252192903776
         157, 0.017164652417722,  -8.1973189744871,  -7.3983837337105,  -7.7651618888652,  -7.7989529648689,  -9.6602937107032,  0.06839285454171,   1.2254313310772
         158, 0.017161877207547,  -8.2147434184461,    -7.42220627034,  -7.7878739929575,  -7.8227657123845,  -9.6737523243553, 0.068394243488853,   1.2256588403965
         159,    0.017159011925,  -8.2303292410067,  -7.4457085008229,  -7.8108916609753,   -7.844498940038,  -9.6877850353214, 0.068394985990876,   1.2258842484279
         160, 0.017156294813665,  -8.2464475232774,  -7.4684466456893,  -7.8346515354208,  -7.8663619627357,  -9.7025628638389, 0.068394179597398,   1.2260994383802
         161, 0.017153337734568,   -8.262875038129,   -7.490149415494,  -7.8587349177715,  -7.8882963364947,  -9.7177210316919, 0.068392537952283,   1.2263047440262
         162, 0.017150546263804,  -8.2798418855169,  -7.5106352472105,  -7.8825163306714,  -7.9105982862588,  -9.7331013912368, 0.068390575256086,   1.2265028290644
         163, 0.017147546518293,   -8.296933464652,  -7.5298195111708,  -7.9053587641101,  -7.9328650639789,  -9.7483980027612, 0.068388475448708,   1.2266954922239
         164, 0.017144682115152,   -8.313541240112,  -7.5477251734724,    -7.92668801518,    -7.95449802734,  -9.7632321925132, 0.068386284594445,   1.2268831682204
         165, 0.017142182114458,  -8.3291871793549,  -7.5644725361679,  -7.9460642260192,   -7.975042402467,  -9.7771667701808, 0.068384022089159,   1.2270655932538
         166, 0.017139207706587,  -8.3435132636636,  -7.5802567922744,  -7.9632450512411,  -7.9941643684375,  -9.7900375779329, 0.068381718897735,   1.2272424946337
         167, 0.017136409922619,  -8.3562597455581,  -7.5953374714812,  -7.9782164895918,   -8.011629208747,  -9.8015846691961,  0.06837942524077,   1.2274138704431
         168, 0.017133794017751,  -8.3673335473186,  -7.6099143921737,  -7.9911596368071,  -8.0273349741143,  -9.8115615855801,  0.06837720369943,   1.2275799385708
         169, 0.017131030882353,  -8.3767224138822,  -7.6243018457902,  -8.0024697119277,  -8.0412964464079,  -9.8199770405296, 0.068375115412147,   1.2277409827485
